gene_id	color	description
Tb927.8.1700	brown	"hypothetical protein, conserved"
Tb927.8.1710	midnightblue	"protein phosphatase 2A, regulatory subunit B, putative"
Tb927.8.1720	salmon	"phosphatidylglycerolphosphate synthase, mitochondrial"
Tb927.8.1730	blue	"hypothetical protein, conserved"
Tb927.8.1740	lightcyan	Mitochondrial import inner membrane translocase subunit TIM62
Tb927.8.1750	green	Fe-S cluster assembly protein DRE2
Tb927.8.1770	white	"hypothetical protein, conserved"
Tb927.8.1780	black	"STE/STE7 protein kinase, putative"
Tb927.8.1790	black	"hypothetical protein, conserved"
Tb927.8.1800	red	"Eukaryotic membrane protein family, putative"
Tb927.8.1810	purple	"serine peptidase, Clan S-, family S54, putative"
Tb927.8.1820	turquoise	"sterol carrier protein, putative"
Tb927.8.1830	red	"tRNA-methyl transferase, putative"
Tb927.8.1840	darkorange	"Sec7 domain containing protein, putative"
Tb927.8.1850	turquoise	mitochondrial calcium uptake 1
Tb927.8.1860	lightcyan	pitrilysin-like metalloprotease
Tb927.8.1870	green	Golgi/lysosome glycoprotein 1
Tb927.8.1880	magenta	"LSU ribosomal protein, mitochondrial, putative"
Tb927.8.1890	pink	"cytochrome c1, heme protein, mitochondrial, putative"
Tb927.8.1900	red	"hypothetical protein, conserved"
Tb927.8.1910	turquoise	"metallo-peptidase, Clan MH, Family M18"
Tb927.8.1930	yellow	"Isy1-like splicing family, putative"
Tb927.8.1940	blue	"endosomal integral membrane protein, putative"
Tb927.8.1945	turquoise	hypothetical protein
Tb927.8.1950	white	"hypothetical protein, conserved"
Tb927.8.1960	tan	CCR4-NOT transcription complex subunit 11
Tb927.8.1970	blue	"hypothetical protein, conserved"
Tb927.8.1980	darkred	Beta propeller protein 1
Tb927.8.1990	turquoise	peroxidoxin
Tb927.8.2000	pink	"cyclophilin, putative"
Tb927.8.2010	purple	"hypothetical protein, conserved"
Tb927.8.2020	turquoise	"agmatinase, putative"
Tb927.8.2030	darkturquoise	Posterior and Ventral Edge protein 1
Tb927.8.2040	lightyellow	"Domain of unknown function (DUF1767), putative"
Tb927.8.2050	turquoise	GDP-mannose pyrophosphorylase
Tb927.8.2060	lightcyan	"Concanavalin A-like lectin/glucanases superfamily/Beige/BEACH domain containing protein, putative"
Tb927.8.2070	black	Present in the outer mitochondrial membrane proteome 39-1
Tb927.8.2080	yellow	"Fungal tRNA ligase phosphodiesterase domain containing protein, putative"
Tb927.8.2090	midnightblue	"cyclophilin type peptidyl-prolyl cis-trans isomerase, putative"
Tb927.8.2100	midnightblue	"vacuolar ATP synthase 16 kDa proteolipid subunit, putative"
Tb927.8.2110	tan	"Alpha/beta hydrolase family, putative"
Tb927.8.2120	tan	"hypothetical protein, conserved"
Tb927.8.2130	greenyellow	"cyclic nucleotide-binding domain containing protein, putative"
Tb927.8.2140	yellow	"hypothetical protein, conserved"
Tb927.8.2150	yellow	"hypothetical protein, conserved"
Tb927.8.2160	darkred	p-glycoprotein
Tb927.8.2170	brown	"hypothetical protein, conserved"
Tb927.8.2180	blue	"hypothetical protein, conserved"
Tb927.8.2185	yellow	hypothetical protein
Tb927.8.2190	green	"hypothetical protein, conserved"
Tb927.8.2200	yellow	"terbinafine resistance locus protein (yip1), putative"
Tb927.8.2210	turquoise	pteridine reductase 1
Tb927.8.2220	greenyellow	"hypothetical protein, conserved"
Tb927.8.2230	turquoise	"Checkpoint protein HUS1, putative"
Tb927.8.2240	magenta	Tryptophanyl-tRNA synthetase 2
Tb927.8.2250	greenyellow	"Fungal tRNA ligase phosphodiesterase domain containing protein, putative"
Tb927.8.2290	yellow	"hypothetical protein, conserved"
Tb927.8.2300	turquoise	"hypothetical protein, conserved"
Tb927.8.2310	yellow	"(H )-ATPase G subunit, putative"
Tb927.8.2320	cyan	hypothetical protein
Tb927.8.2330	white	"hypothetical protein, conserved"
Tb927.8.2340	royalblue	"hypothetical protein, conserved"
Tb927.8.2350	green	"hypothetical protein, conserved"
Tb927.8.2360	green	mediator of rna polymerase ii transcription subunit 4
Tb927.8.2370	lightcyan	dicer-like protein
Tb927.8.2380	lightgreen	"ABC transporter, putative"
Tb927.8.2390	greenyellow	"hypothetical protein, conserved"
Tb927.8.2395	blue	hypothetical protein
Tb927.8.2400	pink	"hypothetical protein, conserved"
Tb927.8.2410	purple	"amidase, putative"
Tb927.8.2420	blue	"hypothetical protein, conserved"
Tb927.8.2430	lightgreen	"hypothetical protein, conserved"
Tb927.8.2440	red	"hypothetical protein, conserved"
Tb927.8.2450	tan	5'-AMP-activated protein kinase subunit beta
Tb927.8.2460	pink	"hypothetical protein, conserved"
Tb927.8.2470	black	"hypothetical protein, conserved"
Tb927.8.2480	turquoise	"3-oxo-5-alpha-steroid 4-dehydrogenase-like, putative"
Tb927.8.2490	turquoise	"SET domain containing protein, putative"
Tb927.8.2500	green	"ribosomal RNA methyltransferase, putative"
Tb927.8.2510	blue	"hypothetical protein, conserved"
Tb927.8.2520	lightgreen	"acetyl-CoA synthetase, putative"
Tb927.8.2530	blue	"Cytochrome c oxidase copper chaperone, related"
Tb927.8.2540	black	3-ketoacyl-CoA thiolase
Tb927.8.2550	red	mitochondrial DNA primase
Tb927.8.2560	purple	"spliceosomal U5 snRNP-specific protein, putative"
Tb927.8.2570	white	"hypothetical protein, conserved"
Tb927.8.2580	yellow	"exocyst complex component Sec10, putative"
Tb927.8.2590	lightgreen	Basal body protein
Tb927.8.2600	red	"WD domain, G-beta repeat/BING4CT (NUC141) domain containing protein, putative"
Tb927.8.2610	lightgreen	"5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase, putative"
Tb927.8.2620	grey60	SUMO-interacting motif-containing protein
Tb927.8.2630	darkred	kinesin-C
Tb927.8.2640	royalblue	"ubiquitin-activating enzyme E1, putative"
Tb927.8.2650	pink	"metallo-beta-lactamase-like protein, putative"
Tb927.8.2660	greenyellow	"Galactose oxidase, central domain containing protein, putative"
Tb927.8.2670	yellow	"Putative S-adenosyl-L-methionine-dependent methyltransferase, putative"
Tb927.8.2690	brown	"SET domain containing protein, putative"
Tb927.8.2700	blue	"hypothetical protein, conserved"
Tb927.8.2710	blue	"SET domain containing protein, putative"
Tb927.8.2720	blue	"Putative serine esterase (DUF676), putative"
Tb927.8.2730	green	"hypothetical protein, conserved"
Tb927.8.2740	greenyellow	mitochondrial RNA binding protein
Tb927.8.2750	red	"hypothetical protein, conserved"
Tb927.8.2760	green	"50S ribosome-binding GTPase, putative"
Tb927.8.2770	black	"inositol 1,4,5-trisphosphate receptor"
Tb927.8.2780	brown	"RNA-binding protein RBP10, putative"
Tb927.8.2800	blue	"hypothetical protein, conserved"
Tb927.8.2810	lightcyan	5'-3' exoribonuclease C
Tb927.8.2820	lightcyan	"hypothetical protein, conserved"
Tb927.8.2830	turquoise	"hypothetical protein, conserved"
Tb927.8.2840	yellow	"hypothetical protein, conserved"
Tb927.8.2850	yellow	Poly(A)-specific ribonuclease PARN-1
Tb927.8.2860	yellow	"hypothetical protein, conserved"
Tb927.8.2880	yellow	"hypothetical protein, conserved"
Tb927.8.2890	green	"hypothetical protein, conserved"
Tb927.8.2910	purple	"ER degradation-enhancing alpha-mannosidase-like protein 1, putative"
Tb927.8.2950	yellow	"hypothetical protein, conserved"
Tb927.8.2960	green	Probable methyltransferase BTM2 homolog
Tb927.8.2970	tan	"hypothetical protein, conserved"
Tb927.8.2980	purple	"Bis(5'-adenosyl)-triphosphatase, putative"
Tb927.8.2990	blue	"5-formyltetrahydrofolate cyclo-ligase family, putative"
Tb927.8.3000	grey60	"hypothetical protein, conserved"
Tb927.8.3010	greenyellow	"hook complex protein, conserved"
Tb927.8.3020	pink	"hypothetical protein, conserved"
Tb927.8.3040	red	"hypothetical protein, conserved"
Tb927.8.3050	magenta	"Chitobiase/beta-hexosaminidase C-terminal domain containing protein, putative"
Tb927.8.3060	darkgrey	"metallo-peptidase, Clan MF, Family M17"
Tb927.8.3070	turquoise	"hypothetical protein, conserved"
Tb927.8.3080	lightgreen	"hypothetical protein, conserved"
Tb927.8.3090	midnightblue	"hypothetical protein, conserved"
Tb927.8.3100	red	"coronin, putative"
Tb927.8.3120	green	"Uncharacterised protein family UPF0546, putative"
Tb927.8.3130	yellow	"S-adenosyl-methyltransferase mraW-like protein, putative"
Tb927.8.3140	turquoise	"SIR2-like protein 4, putative"
Tb927.8.3150	black	"T-complex protein 1, gamma subunit, putative"
Tb927.8.3160	yellow	"hypothetical protein, conserved"
Tb927.8.3170	yellow	kinetoplast ribosomal PPR-repeat containing protein 9
Tb927.8.3180	yellow	"Protein of unknown function (DUF3250), putative"
Tb927.8.3190	turquoise	"hypothetical protein, conserved"
Tb927.8.3200	royalblue	Rapamycin-insensitive companion of TOR2
Tb927.8.3210	brown	"hypothetical protein, conserved"
Tb927.8.3220	black	"exonuclease, putative"
Tb927.8.3230	lightcyan	"hypothetical protein, conserved"
Tb927.8.3240	black	"lathosterol oxidase, putative"
Tb927.8.3250	darkorange	"dynein heavy chain, putative"
Tb927.8.3260	green	"YceI-like domain containing protein, putative"
Tb927.8.3270	brown	hypothetical protein
Tb927.8.3280	green	"Beta-lactamase superfamily domain containing protein, putative"
Tb927.8.3290	grey60	"DNA polymerase zeta catalytic subunit, putative"
Tb927.8.3300	brown	"LSU ribosomal protein, mitochondrial, putative"
Tb927.8.3310	yellow	Elongator-like Protein 3b
Tb927.8.3330	blue	mitochondrial carrier protein
Tb927.8.3340	purple	"hypothetical protein, conserved"
Tb927.8.3350	brown	"DNA polymerase theta (helicase domain only), putative"
Tb927.8.3360	blue	"hypothetical protein, conserved"
Tb927.8.3370	blue	"Ran-binding protein, putative"
Tb927.8.3380	midnightblue	succinate dehydrogenase iron-sulfur subunit
Tb927.8.3390	pink	"hypothetical protein, conserved"
Tb927.8.3400	darkred	"palmitoyl acyltransferase 12, putative"
Tb927.8.3410	pink	"Inositol hexakisphosphate, putative"
Tb927.8.3420	black	"hypothetical protein, conserved"
Tb927.8.3440	blue	"hypothetical protein, conserved"
Tb927.8.3450	purple	"hypothetical protein, conserved"
Tb927.8.3460	red	"Ring finger domain containing protein, putative"
Tb927.8.3470	turquoise	"Vesicle transport v-SNARE protein N-terminus, putative"
Tb927.8.3480	greenyellow	"hypothetical protein, conserved"
Tb927.8.3490	yellow	"Gryzun, putative trafficking through Golgi, putative"
Tb927.8.3510	royalblue	"thymidylate kinase, putative"
Tb927.8.3520	tan	"hypothetical protein, conserved"
Tb927.8.3530	lightyellow	"glycerol-3-phosphate dehydrogenase [NAD ], glycosomal"
Tb927.8.3540	magenta	"hypothetical protein, conserved"
Tb927.8.3550	green	"mitogen-activated protein kinase 3, putative"
Tb927.8.3560	red	DNA repair and recombination helicase protein PIF5
Tb927.8.3570	magenta	"Zinc finger, C3HC4 type (RING finger), putative"
Tb927.8.3580	green	"mitochondrial chaperone BCS1, putative"
Tb927.8.3590	greenyellow	"hypothetical protein, conserved"
Tb927.8.3600	yellow	"hypothetical protein, conserved"
Tb927.8.3610	blue	"AKAP7 2'5' RNA ligase-like domain containing protein, putative"
Tb927.8.3620	blue	"folate transporter, putative"
Tb927.8.3630	magenta	"folate transporter, putative"
Tb927.8.3640	turquoise	"JAB1/Mov34/MPN/PAD-1 ubiquitin protease, putative"
Tb927.8.3650	yellow	"folate transporter, putative"
Tb927.8.3660	red	protein transport protein SEC23
Tb927.8.3680	tan	kinetoplastid kinetochore protein 4
Tb927.8.3690	grey60	"isocitrate dehydrogenase [NADP], mitochondrial precursor, putative"
Tb927.8.3700	greenyellow	"hypothetical protein, conserved"
Tb927.8.3710	yellow	3'-5' exonuclease
Tb927.8.3720	turquoise	SUMO-interacting motif-containing protein
Tb927.8.3730	turquoise	"COPI associated protein, putative"
Tb927.8.3740	blue	"pterin 4 alpha carbinolamine dehydratase, putative"
Tb927.8.3750	darkgrey	nucleolar protein 56
Tb927.8.3770	red	"Mitogen-activated protein kinase 10, putative"
Tb927.8.3780	magenta	"MORN repeat, putative"
Tb927.8.3790	red	"paraflagellar rod component, putative"
Tb927.8.3800	greenyellow	"guanosine diphosphatase, putative"
Tb927.8.3810	black	"hypothetical protein, conserved"
Tb927.8.3820	salmon	Stress granule protein
Tb927.8.3830	darkred	mitochondrial
Tb927.8.3840	salmon	"hypothetical protein, conserved"
Tb927.8.3850	greenyellow	"PSP1 C-terminal conserved region, putative"
Tb927.8.3930	yellow	"Gryzun, putative trafficking through Golgi, putative"
Tb927.8.3940	turquoise	"hypothetical protein, conserved"
Tb927.8.3950	yellow	"hypothetical protein, conserved"
Tb927.8.3960	green	"hypothetical protein, conserved"
Tb927.8.3970	cyan	"oxidoreductase, putative"
Tb927.8.3980	red	"hypothetical protein, conserved"
Tb927.8.3990	turquoise	"hypothetical protein, conserved"
Tb927.8.4000	magenta	"ABC1 family, putative"
Tb927.8.4010	pink	Flagellum adhesion protein 1
Tb927.8.4040	orange	"endonuclease G, putative"
Tb927.8.4050	red	FLA1-binding protein
Tb927.8.4060	blue	"Flagellum adhesion protein 2, putative"
Tb927.8.4100	pink	FLA1-binding protein
Tb927.8.4110	yellow	"Flagellum adhesion protein 3, putative"
Tb927.8.4130	blue	"class I transcription factor A, subunit 5b"
Tb927.8.4140	magenta	Anaphase-promoting complex-associated protein AP3
Tb927.8.4150	green	rhomboid-like protein
Tb927.8.4160	greenyellow	"hypothetical protein, conserved"
Tb927.8.4170	lightcyan	"RNA-binding protein, putative"
Tb927.8.4175	brown	hypothetical protein
Tb927.8.4180	purple	tRNA-specific adenosine deaminase
Tb927.8.4190	magenta	"hypothetical protein, conserved"
Tb927.8.4200	brown	"hypothetical protein, conserved"
Tb927.8.4210	brown	"basal body component, putative"
Tb927.8.4220	tan	"hypothetical protein, conserved"
Tb927.8.4230	red	"hypothetical protein, conserved"
Tb927.8.4240	magenta	"hypothetical protein, conserved"
Tb927.8.4250	turquoise	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit, putative"
Tb927.8.4260	lightcyan	"serine/threonine-protein kinase, putative"
Tb927.8.4270	grey60	"hypothetical protein, conserved"
Tb927.8.4280	brown	"nuclear transport factor 2, putative"
Tb927.8.4290	darkred	"Ribosome biogenesis protein Nop16, putative"
Tb927.8.4300	grey60	hypothetical protein
Tb927.8.4310	pink	"hypothetical protein, conserved"
Tb927.8.4320	grey60	"hypothetical protein, conserved"
Tb927.8.4330	yellow	small GTP-binding protein Rab11
Tb927.8.4340	turquoise	"hypothetical protein, conserved"
Tb927.8.4350	blue	"hypothetical protein, conserved"
Tb927.8.4360	darkorange	"hypothetical protein, conserved"
Tb927.8.4370	lightgreen	"hypothetical protein, conserved"
Tb927.8.4380	black	Archaic translocase of outer membrane 12 kDa subunit
Tb927.8.4390	darkgrey	"translation initiation factor eIF-2B subunit beta, putative"
Tb927.8.4400	red	"Outer dynein arm docking complex protein 1, putative"
Tb927.8.4410	salmon	"ARP2/3 complex subunit, putative"
Tb927.8.4420	black	"hypothetical protein, conserved"
Tb927.8.4430	turquoise	uridine phosphorylase
Tb927.8.4440	magenta	mitochondrial carrier protein
Tb927.8.4450	greenyellow	"RNA-binding protein, putative"
Tb927.8.4460	greenyellow	"Domain of Unknown Function (DUF1042), putative"
Tb927.8.4480	greenyellow	"hypothetical protein, conserved"
Tb927.8.4490	blue	hypothetical protein
Tb927.8.4500	black	Eukaryotic translation initiation factor 4 gamma 5
Tb927.8.4510	red	Nucleoside diphosphate kinase 4
Tb927.8.4520	midnightblue	"hypothetical protein, conserved"
Tb927.8.4530	lightyellow	"hypothetical protein, conserved"
Tb927.8.4540	black	"PAB1-binding protein , putative"
Tb927.8.4550	brown	"Mitochondrial SSU ribosomal protein, putative"
Tb927.8.4560	red	"hypothetical protein, conserved"
Tb927.8.4570	tan	"Zinc finger, C3HC4 type (RING finger), putative"
Tb927.8.4580	lightcyan	Basal body protein
Tb927.8.4590	yellow	"hypothetical protein, conserved"
Tb927.8.4600	blue	"Zinc finger, C3HC4 type (RING finger), putative"
Tb927.8.4610	tan	Ras-related protein RabX1
Tb927.8.4620	midnightblue	"small GTP-binding protein Rab7, putative"
Tb927.8.4630	brown	"hypothetical protein, conserved"
Tb927.8.4640	magenta	Component of motile flagella 19
Tb927.8.4650	green	"hypothetical protein, conserved"
Tb927.8.4660	yellow	"hypothetical protein, conserved"
Tb927.8.4670	green	"hypothetical protein, conserved"
Tb927.8.4680	midnightblue	"Spinocerebellar ataxia type 10 protein domain containing protein, putative"
Tb927.8.4690	purple	"hypothetical protein, conserved"
Tb927.8.4695	blue	hypothetical protein
Tb927.8.4700	lightgreen	"amino acid transporter, putative"
Tb927.8.4760	blue	kinetoplastid kinetochore protein 20
Tb927.8.4770	blue	small GTP-binding protein Rab18
Tb927.8.4780	darkred	Flagellar Member 3
Tb927.8.480	pink	"phosphatidic acid phosphatase protein, putative"
Tb927.8.4800	green	"hypothetical protein, conserved"
Tb927.8.4810	green	prohibitin 1
Tb927.8.4820	pink	eukaryotic translation initiation factor 4 gamma 3
Tb927.8.4830	brown	u1 small nuclear ribonucleoprotein 70 kDa
Tb927.8.4840	greenyellow	"kinesin, putative"
Tb927.8.4850	green	"hypothetical protein, conserved"
Tb927.8.4860	grey	kinetoplast ribosomal PPR-repeat containing protein 10
Tb927.8.4870	greenyellow	Component of motile flagella 6
Tb927.8.4880	greenyellow	DNA polymerase alpha catalytic subunit
Tb927.8.4890	turquoise	pol-associated gene 1
Tb927.8.4895	turquoise	hypothetical protein
Tb927.8.4900	red	"hypothetical protein, conserved"
Tb927.8.4910	yellow	"hypothetical protein, conserved"
Tb927.8.4920	turquoise	"hypothetical protein, conserved"
Tb927.8.4930	green	"hypothetical protein, conserved"
Tb927.8.4940	purple	"hypothetical protein, conserved"
Tb927.8.4950	black	Kinesin Localized to the Ingressing Furrow
Tb927.8.4960	greenyellow	"hypothetical protein, conserved"
Tb927.8.5020	salmon	"hypothetical protein, conserved"
Tb927.8.5030	green	"transport protein particle (TRAPP) component, Bet3, putative"
Tb927.8.5040	red	"EMG1/NEP1 methyltransferase, putative"
Tb927.8.5050	grey60	"OTU-like cysteine protease, putative"
Tb927.8.5060	black	ADP-ribosylation factor-like protein 6
Tb927.8.5070	black	"hypothetical protein, conserved"
Tb927.8.5080	cyan	"fatty-acid amide hydrolase, putative"
Tb927.8.5090	salmon	DNA-directed RNA polymerase I largest subunit
Tb927.8.5100	lightcyan	"hypothetical protein, conserved"
Tb927.8.5110	pink	"hypothetical protein, conserved"
Tb927.8.5120	pink	cytochrome c
Tb927.8.5130	lightgreen	Present in the outer mitochondrial membrane proteome 41
Tb927.8.5140	yellow	"diacylglycerol kinase, putative"
Tb927.8.5150	brown	"hypothetical protein, conserved"
Tb927.8.5160	darkgrey	"hypothetical protein, conserved"
Tb927.8.5170	lightcyan	"hypothetical protein, conserved"
Tb927.8.5180	brown	U6 snRNA-associated sm-like protein Lsm2
Tb927.8.5190	darkturquoise	"hypothetical protein, conserved"
Tb927.8.5200	grey60	"Mitochondrial SSU ribosomal protein, putative"
Tb927.8.5210	yellow	"cullin 3, putative"
Tb927.8.5220	grey60	"hypothetical protein, conserved"
Tb927.8.5230	blue	"peptidyl-prolyl cis-trans isomerase, putative"
Tb927.8.5240	yellow	"Domain of unknown function DUF221, putative"
Tb927.8.5250	lightgreen	"delta-coat protein, putative"
Tb927.8.5260	black	"60S ribosomal protein L39, putative"
Tb927.8.5270	turquoise	"hypothetical protein, conserved"
Tb927.8.5280	pink	mitochondrial ribosomal protein s34
Tb927.8.5290	cyan	"WW domain containing protein, putative"
Tb927.8.5300	darkgrey	"hypothetical protein, conserved"
Tb927.8.5310	black	"Polyketide cyclase / dehydrase and lipid transport, putative"
Tb927.8.5320	blue	"hypothetical protein, conserved"
Tb927.8.5330	red	"tyrosyl/methionyl-tRNA synthetase, putative"
Tb927.8.5340	pink	hypothetical protein
Tb927.8.5350	pink	"hypothetical protein, conserved"
Tb927.8.5360	turquoise	"hypothetical protein, conserved"
Tb927.8.5370	royalblue	"hypothetical protein, conserved"
Tb927.8.5380	blue	"ubiquitin fold modifier protein, putative"
Tb927.8.5390	magenta	"cdc2-related protein kinase 4, putative"
Tb927.8.540	greenyellow	"N-terminal region of Chorein, a TM vesicle-mediated sorter, putative"
Tb927.8.5400	red	"hypothetical protein, conserved"
Tb927.8.5410	blue	"hypothetical protein, conserved"
Tb927.8.5420	grey	"methyltransferase domain containing protein, putative"
Tb927.8.5430	yellow	"Snf7, putative"
Tb927.8.5440	green	flagellar calcium-binding 24 kDa protein
Tb927.8.5450	orange	amino acid permease 24
Tb927.8.5460	turquoise	Flagellar calcium-binding 44 kDa protein
Tb927.8.5470	midnightblue	flagellar calcium-binding 24 kDa protein
Tb927.8.5480	turquoise	"hypothetical protein, conserved"
Tb927.8.5490	grey60	"Nucleolar protein,Nop52, putative"
Tb927.8.550	turquoise	"peptide methionine sulfoxide reductase, putative"
Tb927.8.5500	green	"calcium/calmodulin-dependent protein kinase, putative"
Tb927.8.5510	purple	"apurinic/apyrimidinic endonuclease, putative"
Tb927.8.5520	brown	"hypothetical protein, conserved"
Tb927.8.5530	brown	"COP9 signalosome complex subunit 5, putative"
Tb927.8.5540	turquoise	Iron-sulfur assembly protein 1
Tb927.8.5550	pink	"hypothetical protein, conserved"
Tb927.8.5560	grey	"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative"
Tb927.8.5570	grey60	"transporter, putative"
Tb927.8.5580	darkred	"N-terminal region of Chorein, a TM vesicle-mediated sorter/Integral peroxisomal membrane peroxin, putative"
Tb927.8.5590	pink	"SH3-binding, glutamic acid-rich protein, putative"
Tb927.8.560	magenta	"hypothetical protein, conserved"
Tb927.8.5600	brown	"transaldolase, putative"
Tb927.8.5620	black	"ubiquitin carboxyl-terminal hydrolase, putative"
Tb927.8.5630	black	"dihydroorotase, putative"
Tb927.8.5640	turquoise	putative succinate dehydrogenase subunit
Tb927.8.5650	grey60	"hypothetical protein, conserved"
Tb927.8.5660	yellow	"hypothetical protein, conserved"
Tb927.8.5670	magenta	SUMO-interacting motif-containing protein
Tb927.8.5680	grey60	"Pyridoxal-dependent decarboxylase conserved domain containing protein, putative"
Tb927.8.5690	black	KREPB8
Tb927.8.570	blue	proteasome regulatory non-ATP-ase subunit 10
Tb927.8.5700	salmon	mitochondrial editosome-associated protein KREPB10
Tb927.8.5710	lightcyan	"recombination initiation protein NBS1, putative"
Tb927.8.5720	grey60	tRNA (guanine(37)-N1)-methyltransferase
Tb927.8.5730	yellow	"STE20-like serine/threonine-protein kinase 1, putative"
Tb927.8.5750	green	"hypothetical protein, conserved"
Tb927.8.5760	green	"Ankyrin repeats (many copies)/Alpha/beta hydrolase family, putative"
Tb927.8.5770	darkorange	Elongator-like Protein 3a
Tb927.8.5780	pink	"phosphatase of regenerating liver-type phosphatase, putative"
Tb927.8.5790	lightgreen	hypothetical protein
Tb927.8.580	midnightblue	MICOS complex subunit 40
Tb927.8.5800	green	"hypothetical protein, conserved"
Tb927.8.5810	tan	mitochondrial carrier protein
Tb927.8.5820	red	"Las1-like, putative"
Tb927.8.5830	pink	"SMP-30/Gluconolaconase/LRE-like region, putative"
Tb927.8.5840	blue	"hypothetical protein, conserved"
Tb927.8.5850	darkorange	"hypothetical protein, conserved"
Tb927.8.5860	purple	mitochondrial ribosomal protein L17
Tb927.8.5870	magenta	"hypothetical protein, conserved"
Tb927.8.5880	brown	"eukaryotic translation initiation factor 1A, putative"
Tb927.8.5890	purple	histone chaperone ASF1B
Tb927.8.590	yellow	"carnitine O-palmitoyltransferase, putative"
Tb927.8.5900	blue	"Sedlin, N-terminal conserved region, putative"
Tb927.8.5910	blue	hypothetical protein
Tb927.8.5920	pink	hypothetical protein
Tb927.8.5930	blue	hypothetical protein
Tb927.8.5940	magenta	"hypothetical protein, conserved"
Tb927.8.595	yellow	hypothetical protein
Tb927.8.5950	blue	"mitogen-activated protein kinase kinase 4, putative"
Tb927.8.5960	blue	"hypothetical protein, conserved"
Tb927.8.5970	pink	"Cullin 5, putative"
Tb927.8.5980	magenta	"TFIIH basal transcription factor complex helicase subunit, putative"
Tb927.8.5990	pink	"NLE (NUC135) domain/WD domain, G-beta repeat, putative"
Tb927.8.600	tan	"Bucentaur or craniofacial development, putative"
Tb927.8.6000	purple	"fatty acid desaturase, putative"
Tb927.8.6010	turquoise	"Heme Response-1 protein, putative"
Tb927.8.6020	red	"hypothetical protein, conserved"
Tb927.8.6030	lightyellow	"60S ribosomal protein L12, putative"
Tb927.8.6033	black	"ribosomal protein L41, putative"
Tb927.8.6036	midnightblue	"ribosomal protein L41, putative"
Tb927.8.6038	lightyellow	"ribosomal protein L41, putative"
Tb927.8.6040	purple	kinetoplast ribosomal PPR-repeat containing protein 11
Tb927.8.6050	yellow	"hypothetical protein, conserved"
Tb927.8.6060	lightyellow	2-amino-3-ketobutyrate coenzyme A ligase
Tb927.8.6070	greenyellow	Trypanosome basal body component protein
Tb927.8.6080	pink	"Glycerophosphoryl diester phosphodiesterase family, putative"
Tb927.8.6090	magenta	"ubiquitin-protein ligase, putative"
Tb927.8.610	magenta	"hypothetical protein, conserved"
Tb927.8.6100	red	"hypothetical protein, conserved"
Tb927.8.6110	black	"3-hydroxy-3-methylglutaryl-CoA synthase, putative"
Tb927.8.6120	tan	"hypothetical protein, conserved"
Tb927.8.6130	turquoise	"hypothetical protein, conserved"
Tb927.8.6140	royalblue	"Galactose oxidase, central domain/Kelch motif containing protein, putative"
Tb927.8.6150	lightyellow	"40S ribosomal protein S8, putative"
Tb927.8.6160	black	"40S ribosomal protein S8, putative"
Tb927.8.6170	lightyellow	"transketolase, putative"
Tb927.8.6180	lightyellow	"60S ribosomal protein L26, putative"
Tb927.8.6190	yellow	"BolA-like protein, putative"
Tb927.8.620	yellow	KREPA3
Tb927.8.6200	lightcyan	"tubulin folding cofactor D, putative"
Tb927.8.6210	green	"phosphatidylinositol 3-kinase, putative"
Tb927.8.6220	salmon	"Phosphorylated CTD interacting factor 1 WW domain containing protein, putative"
Tb927.8.6230	tan	"hypothetical protein, conserved"
Tb927.8.6240	magenta	STOP axonemal protein
Tb927.8.6250	brown	Nucleoporin NUP76
Tb927.8.6260	red	"hypothetical protein, conserved"
Tb927.8.6270	salmon	"hypothetical protein, conserved"
Tb927.8.6280	blue	"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative"
Tb927.8.6290	turquoise	"hypothetical protein, conserved"
Tb927.8.630	turquoise	"lipoyltransferase, putative"
Tb927.8.6300	red	"hypothetical protein, conserved"
Tb927.8.6310	blue	"chaperone protein DnaJ, putative"
Tb927.8.6320	green	"hypothetical protein, conserved"
Tb927.8.6330	grey60	"WD domain, G-beta repeat/PFU (PLAA family ubiquitin binding), putative"
Tb927.8.6340	darkgreen	"CYC2-like cyclin, putative"
Tb927.8.6350	red	"CYC2-like cyclin, putative"
Tb927.8.6360	grey60	"SPRY domain containing protein, putative"
Tb927.8.6370	magenta	Flagellar pocket collar protein 4
Tb927.8.6380	salmon	"hypothetical protein, conserved"
Tb927.8.6390	midnightblue	"lysophospholipase, putative"
Tb927.8.640	yellow	"Dpy-30 motif containing protein, putative"
Tb927.8.6400	red	"hypothetical protein, conserved"
Tb927.8.6410	purple	"beta-ketoacyl-ACP reductase 3, putative"
Tb927.8.6420	blue	beta-ketoacyl-ACP reductase 2
Tb927.8.6430	brown	"hypothetical protein, conserved"
Tb927.8.6440	pink	"RNA-binding protein, putative"
Tb927.8.6450	turquoise	inhibitor of cysteine peptidase
Tb927.8.6460	blue	"kinase binding protein CGI-121, putative"
Tb927.8.6470	purple	"SET domain containing protein, putative"
Tb927.8.6480	tan	"folate-binding protein YgfZ, putative"
Tb927.8.6490	darkturquoise	Basal body protein
Tb927.8.650	salmon	"cation-transporting ATPase, putative"
